label,x,y,,,,,
C_{26},-1.244833269,-0.898715648,,,,,
D_{26},-1.141832465,-0.906252292,,,,,
E_{26},-1.094100385,-0.948959943,,,,,
F_{26},-1,-1,,,,,
G_{26},-0.963465219,-1.044424102,,,,,
H_{26},-0.960953004,-1.084619538,,,,,
I_{26},-0.955928574,-1.172547054,,,,,
J_{26},-0.955928574,-1.242889066,,,,,
K_{26},-0.965977433,-1.293133361,,,,,
L_{26},-0.950904145,-1.355938729,,,,,
M_{26},-0.960953004,-1.401158594,,,,,
N_{26},-1.026270587,-1.413719668,,,,,
O_{26},-1.08656374,-1.423768527,,,,,
P_{26},-1.146856894,-1.451402889,,,,,
Q_{26},-1.212174477,-1.476525036,,,,,
R_{26},-1.28251649,-1.521744901,,,,,
S_{26},-1.357882931,-1.556915908,,,,,
T_{26},-1.443298232,-1.599623558,,,,,
U_{26},-1.548811251,-1.657404497,,,,,
V_{26},-1.676934202,-1.700112147,,,,,
W_{26},-1.737146308,-1.72821113,,,,,
Z_{26},-1.825457396,-1.740253551,,,,,
A_{27},-1.668905922,-1.760324253,,,,,
B_{27},-1.464184762,-1.72419699,,,,,
C_{27},-1.307633287,-1.672013165,,,,,
D_{27},-1.171152515,-1.62384348,,,,,
E_{27},-1.102307059,-1.611694282,,,,,
F_{27},-1,-1.6,,,,,
G_{27},-0.87552203,-1.579296421,,,,,
H_{27},-0.777349245,-1.548059057,,,,,
I_{27},-0.71260189,-1.545568774,,,,,
J_{27},-0.593068312,-1.528136794,,,,,
K_{27},-0.510888977,-1.530627077,,,,,
L_{27},-0.436180491,-1.530627077,,,,,
M_{27},-0.29672465,-1.528136794,,,,,
N_{27},-0.192132769,-1.535607643,,,,,
O_{27},-0.08007004,-1.520665946,,,,,
P_{27},-0.08007004,-1.478331137,,,,,
Q_{27},-0.14979796,-1.453428308,,,,,
R_{27},-0.281782953,-1.413583782,,,,,
S_{27},-0.4,-1.4,,,,,
T_{27},-0.471044451,-1.388680953,,,,,
U_{27},-0.583107181,-1.356307276,,,,,
V_{27},-0.637893404,-1.346346144,,,,,
W_{27},-0.700150476,-1.348836427,,,,,
Z_{27},-0.762407548,-1.361287841,,,,,
A_{28},-0.8,-1.4,,,,,
B_{28},-0.857038297,-1.381210104,,,,,
C_{28},-0.834625751,-1.416074065,,,,,
D_{28},-0.802252074,-1.440976893,,,,,
E_{28},-0.784820094,-1.480821419,,,,,
F_{28},-0.769878397,-1.5854133,,,,,
G_{28},-0.8,-1.6,,,,,
H_{28},-0.911824521,-1.622767543,,,,,
I_{28},-0.994003855,-1.637709241,,,,,
J_{28},-1.083654039,-1.657631504,,,,,
K_{28},-1.155872242,-1.677553767,,,,,
L_{28},-1.250502992,-1.694985747,,,,,
M_{28},-1.327701761,-1.709927444,,,,,
N_{28},-1.40490053,-1.742301122,,,,,
O_{28},-1.467157602,-1.76720395,,,,,
P_{28},-1.540087493,-1.797360083,,,,,
Q_{28},-1.569594954,-1.840753409,,,,,
R_{28},-1.494958433,-1.85811074,,,,,
S_{28},-1.423793379,-1.865053672,,,,,
T_{28},-1.357835523,-1.868525138,,,,,
U_{28},-1.269313137,-1.865053672,,,,,
V_{28},-1.149547557,-1.866789405,,,,,
W_{28},-1.066232371,-1.865053672,,,,,
Z_{28},-0.975974253,-1.861582206,,,,,
A_{29},-0.882244668,-1.854639274,,,,,
B_{29},-0.79198655,-1.840753409,,,,,
C_{29},-0.698256965,-1.825131812,,,,,
D_{29},-0.6,-1.8,,,,,
E_{29},-0.493440466,-1.766116888,,,,,
F_{29},-0.403182347,-1.727930761,,,,,
G_{29},-0.323338627,-1.708837698,,,,,
H_{29},-0.236551975,-1.65329424,,,,,
I_{29},-0.161915454,-1.604693715,,,,,
J_{29},-0.10290053,-1.549150257,,,,,
K_{29},-0.033904025,-1.602235525,,,,,
L_{29},0.014987568,-1.526453556,,,,,
M_{29},0.034544205,-1.436004108,,,,,
N_{29},-0.041237764,-1.377334196,,,,,
O_{29},-0.168355907,-1.325998023,,,,,
P_{29},-0.29058489,-1.294218488,,,,,
Q_{29},-0.422592192,-1.250216054,,,,,
R_{29},-0.547265755,-1.223325677,,,,,
S_{29},-0.708608012,-1.220881098,,,,,
T_{29},-0.843059894,-1.240437735,,,,,
U_{29},-0.838170734,-1.110875013,,,,,
V_{29},-0.8,-1,,,,,
W_{29},-0.847949053,-0.927531538,,,,,
Z_{29},-0.664597691,-0.893313338,,,,,
A_{30},-0.460915583,-0.852576917,,,,,
B_{30},-0.330559034,-0.779251358,,,,,
C_{30},-0.155392421,-0.72629401,,,,,
D_{30},-0.037256798,-0.762956789,,,,,
E_{30},0.064584256,-0.787398642,,,,,
F_{30},0.239750869,-0.771104074,,,,,
G_{30},0.398622913,-0.762956789,,,,,
H_{30},0.528979463,-0.722220368,,,,,
I_{30},0.683777865,-0.709999441,,,,,
J_{30},0.867091762,-0.665189377,,,,,
K_{30},1.001521954,-0.640747524,,,,,
L_{30},1.054479302,-0.697778515,,,,,
M_{30},1.074847513,-0.811840495,,,,,
N_{30},1.082994797,-0.978859824,,,,,
O_{30},1.078921155,-1.080700878,,,,,
P_{30},1.07077387,-1.194762859,,,,,
Q_{30},1.05040566,-1.349561261,,,,,
R_{30},1.025963807,-1.475844168,,,,,
S_{30},1,-1.6,,,,,
T_{30},0.936343679,-1.699894487,,,,,
U_{30},0.879312689,-1.805809183,,,,,
V_{30},0.838576267,-1.903576595,,,,,
W_{30},0.8,-2,,,,,
Z_{30},0.761177066,-2.054301355,,,,,
A_{31},0.687851507,-2.192805188,,,,,
B_{31},0.569715884,-2.335382664,,,,,
C_{31},0.508611252,-2.42092915,,,,,
D_{31},0.451580262,-2.514622919,,,,,
E_{31},0.4,-2.6,,,,,
F_{31},0.296781859,-2.624611258,,,,,
G_{31},0.16642531,-2.702010459,,,,,
H_{31},0,-2.8,,,,,
I_{31},-0.118729641,-2.844587935,,,,,
J_{31},-0.200202485,-2.913839851,,,,,
K_{31},-0.297084133,-2.968335778,,,,,
L_{31},-0.400020884,-3.010721499,,,,,
M_{31},-0.485863976,-3.034341025,,,,,
N_{31},-0.642483288,-3.077055382,,,,,
O_{31},-0.806221659,-3.077055382,,,,,
P_{31},-0.937924262,-3.055698203,,,,,
Q_{31},-1.034031567,-3.027221965,,,,,
R_{31},-1.101662634,-3.023662435,,,,,
B1,-3.116049574,1.663205806,,,,,
B4,-2.82452667,1.84065453,,,,,
B5,-2.482304131,1.923041438,,,,,
B6,-2.241480862,1.973741073,,,,,
B7,-1.930945595,1.992753436,,,,,
B8,-1.607735419,2.018103254,,,,,
B9,-1.37958706,2.062465435,,,,,
B10,-1.043701975,2.06880289,,,,,
B11,-0.866253251,2.049790526,,,,,
B12,-0.524030712,2.06880289,,,,,
B13,-0.302219806,2.12583998,,,,,
B14,-0.032395179,2.257505877,,,,,
B15,0.244632605,2.491914001,,,,,
B16,0.393801411,2.630427893,,,,,
B17,0.68148411,2.832871273,,,,,
B18,0.952798885,2.97399605,,,,,
B19,1.2,3,,,,,
B20,1.113679477,3.163030746,,,,,
B21,1.017151122,3.327933354,,,,,
B22,0.888446648,3.456637827,,,,,
B23,0.83213844,3.561210213,,,,,
B24,0.7396321,3.629584464,,,,,
B25,0.679301878,3.693936701,,,,,
B26,0.816565884,3.759109814,,,,,
B27,0.978317435,3.66107857,,,,,
B30,1.046939306,3.563047327,,,,,
B31,1.1253643,3.465016084,,,,,
B32,1.198887732,3.308166095,,,,,
B33,1.282214289,3.200331728,,,,,
B34,1.331229911,3.112103609,,,,,
B35,1.4,3,,,,,
B36,1.558147706,2.935170094,,,,,
B37,1.658364185,2.825843027,,,,,
B38,1.767691252,2.707405371,,,,,
B39,1.904350085,2.670963015,,,,,
B40,2.086561864,2.561635948,,,,,
B41,2.277884231,2.497861826,,,,,
B42,2.36899012,2.388534759,,,,,
B43,2.505648954,2.270097103,,,,,
B44,2.560312487,2.142548858,,,,,
B45,2.587644254,2.005890024,,,,,
B46,2.651418376,1.832788835,,,,,
B47,2.75595263,1.582358896,,,,,
B48,2.868330757,1.423267291,,,,,
B49,2.973220369,1.300896077,,,,,
B50,3.008183573,1.073635252,,,,,
B51,2.973220369,0.933782436,,,,,
B52,2.990701971,0.697780809,,,,,
B53,3,0.5,,,,,
B56,2.964479568,0.313185566,,,,,
B57,2.868330757,0.155851149,,,,,
B58,2.702255539,0.059702338,,,,,
B59,2.527439519,-0.080150478,,,,,
B60,2.335141898,-0.202521692,,,,,
B61,2.125362674,-0.246225696,,,,,
B62,1.801953038,-0.307411303,,,,,
B63,1.574692212,-0.36859691,,,,,
B64,1.294986581,-0.394819313,,,,,
B65,1.085207357,-0.429782517,,,,,
B66,1.203824483,-0.241743097,,,,,
B67,1.355043772,-0.030036093,,,,,
B68,1.415531487,0.234597661,,,,,
B69,1.5,0.5,,,,,
B70,1.415531487,0.635328775,,,,,
B71,1.294556056,0.741182277,,,,,
B72,1.196263519,0.809230956,,,,,
B73,1.029922302,0.877279636,,,,,
B74,1,1,,,,,
B75,1.173580626,1.270449786,,,,,
B76,1.075288088,1.421669074,,,,,
B77,0.946751693,1.580449326,,,,,
B78,0.825776263,1.708985722,,,,,
B79,0.719922761,1.807278259,,,,,
B82,0.621630224,1.882887903,,,,,
B83,0.5,2,,,,,
B84,0.356996469,2.041668156,,,,,
B85,0.228460074,2.087033942,,,,,
B86,0,2,,,,,
B87,-0.202514897,1.920692725,,,,,
B88,-0.36129515,1.898009832,,,,,
B89,-0.641050833,1.852644045,,,,,
B90,-0.928367481,1.882887903,,,,,
B91,-1.170318342,1.920692725,,,,,
B92,-1.351781488,1.935814654,,,,,
B93,-1.52568367,1.920692725,,,,,
B94,-1.729829709,1.898009832,,,,,
B95,-1.911292855,1.875326939,,,,,
B96,-2.085195036,1.837522117,,,,,
B97,-2.319584933,1.777034401,,,,,
B98,-2.448121328,1.754351508,,,,,
B99,-2.67495026,1.678741864,,,,,
B100,-2.826169549,1.610693184,,,,,
